UPPER_SECTION_HEIGHT,WidTH,BASE_HEIGHT,Regen Pass/Fail,Volume,Surface Area,Density,Mass,CG x,CG y,CG z,AREA_TOP_PLATE_ATTACH_SURF,AREA_SIDE_SURF
500,1400,4500,Pass,31520270314.744812,76035504.513395,1.000000,31520270314.744812,2444.005006,2276.603131,711.722693,4743721.874421,23040149.190082
500,1600,500,Pass,4555238748.572732,25833676.811195,1.000000,4555238748.572732,2090.274881,345.701200,832.675796,5333218.331487,3044956.823022
500,1600,1500,Pass,11992770513.033401,43195650.406599,1.000000,11992770513.033401,2326.782352,818.886093,834.379261,5333218.331487,8043754.914787
500,1600,2500,Pass,19890981948.773575,57655702.289566,1.000000,19890981948.773575,2396.803362,1293.470669,823.087779,5333218.331487,13042553.006552
500,1600,3500,Pass,27889058877.173878,70853298.473095,1.000000,27889058877.173878,2426.225946,1779.135766,816.466622,5333218.331487,18041351.098317
500,1600,4500,Pass,35887136236.549454,84050894.656735,1.000000,35887136236.549454,2442.533922,2271.190446,812.796671,5333218.331487,23040149.190082
500,1800,500,Pass,5164230113.948815,28210629.377171,1.000000,5164230113.948815,2096.993826,344.967601,922.690074,6079043.666532,3044956.823022
500,1800,1500,Pass,13601521509.647552,45972602.972575,1.000000,13601521509.647552,2331.432053,818.755808,923.863497,6079043.666532,8043754.914787
500,1800,2500,Pass,22499492566.181343,60832654.855542,1.000000,22499492566.181343,2399.166360,1295.702300,916.068273,6079043.666532,13042553.006552
500,1800,3500,Pass,31497329110.631687,74430251.039071,1.000000,31497329110.631687,2427.799813,1782.724335,911.478052,6079043.666532,18041351.098317
500,1800,4500,Pass,40495166066.129372,88027847.222711,1.000000,40495166066.129372,2443.708883,2275.513668,908.927615,6079043.666532,23040149.190082
500,2000,500,Pass,5773221479.324900,30587581.943147,1.000000,5773221479.324900,2102.295267,344.388769,1014.811051,6824869.001577,3044956.823022
500,2000,1500,Pass,15210272491.073664,48749555.538551,1.000000,15210272491.073664,2335.098110,818.653084,1015.572103,6824869.001577,8043754.914787
500,2000,2500,Pass,25108003183.589115,64009607.421518,1.000000,25108003183.589115,2401.038366,1297.470237,1010.507302,6824869.001577,13042553.006552
500,2000,3500,Pass,35105599735.208908,78007203.605158,1.000000,35105599735.208908,2429.050203,1785.575223,1007.514886,6824869.001577,18041351.098317
500,2000,4500,Pass,45103195895.709282,92004799.788687,1.000000,45103195895.709282,2444.643761,2278.953514,1005.849133,6824869.001577,23040149.190082
1000,1000,500,Pass,3581413441.863264,20043818.385876,1.000000,3581413441.863264,1900.320231,478.637490,501.443266,3707628.490558,3592162.531293
1000,1000,1500,Pass,8561185624.620221,32094289.301730,1.000000,8561185624.620221,2247.966843,909.283685,501.672425,3707628.490558,8590960.623057
1000,1000,2500,Pass,13556594106.728977,44118973.623714,1.000000,13556594106.728977,2340.689626,1389.897472,501.176394,3707628.490558,13589758.714822
1000,1000,3500,Pass,18555392187.037006,56116569.807387,1.000000,18555392187.037006,2383.445733,1880.761593,500.859475,3707628.490558,18588556.806587
1000,1000,4500,Pass,23554190267.338745,68114165.990927,1.000000,23554190267.338745,2408.053974,2375.503446,500.677073,3707628.490558,23587354.898352
1000,1200,500,Pass,4196336106.023173,22425926.242978,1.000000,4196336106.023173,1874.560206,484.160092,613.524309,4246434.281277,3592162.531293
1000,1200,1500,Pass,9992655494.452736,35471390.754993,1.000000,9992655494.452736,2229.547460,912.277682,615.732022,4246434.281277,8590960.623057
1000,1200,2500,Pass,15955183022.074175,48172214.938480,1.000000,15955183022.074175,2331.057557,1383.729761,610.974557,4246434.281277,13589758.714822
1000,1200,3500,Pass,21953740718.391209,60569811.122183,1.000000,21953740718.391209,2377.054553,1869.026511,607.975911,4246434.281277,18588556.806587
1000,1200,4500,Pass,27952298414.701534,72967407.305712,1.000000,27952298414.701534,2403.309656,2360.633890,606.264282,4246434.281277,23587354.898352
1000,1400,500,Pass,4790499819.788096,24954880.884916,1.000000,4790499819.788096,1850.568708,489.303533,724.998845,4743721.874421,3592162.531293
1000,1400,1500,Pass,11366623054.251259,39443750.418353,1.000000,11366623054.251259,2212.264594,915.086935,729.184307,4743721.874421,8590960.623057
1000,1400,2500,Pass,18289723517.600807,52934723.562766,1.000000,18289723517.600807,2322.163459,1378.034632,720.202124,4743721.874421,13589758.714822
1000,1400,3500,Pass,25288040995.738537,65732319.746406,1.000000,25288040995.738537,2371.212486,1858.299540,714.611747,4743721.874421,18588556.806587
1000,1400,4500,Pass,32286358308.149860,78529915.929930,1.000000,32286358308.149860,2398.997912,2347.119913,711.444538,4743721.874421,23587354.898352
1000,1600,500,Pass,5430767883.822310,28528088.227735,1.000000,5430767883.822310,1841.506744,491.246291,827.407920,5333218.331487,3592162.531293
1000,1600,1500,Pass,12868299663.471004,45890061.823139,1.000000,12868299663.471004,2205.704186,916.153301,832.040271,5333218.331487,8590960.623057
1000,1600,2500,Pass,20766511084.023159,60350113.706106,1.000000,20766511084.023159,2318.823165,1375.895687,822.114384,5333218.331487,13589758.714822
1000,1600,3500,Pass,28764588012.452877,73547709.889746,1.000000,28764588012.452877,2369.032811,1854.297462,815.965415,5333218.331487,18588556.806587
1000,1600,4500,Pass,36762665371.799042,86745306.073275,1.000000,36762665371.799042,2397.395327,2342.097062,812.491909,5333218.331487,23587354.898352
1000,1800,500,Pass,6149200391.104591,31105040.793712,1.000000,6149200391.104591,1848.750944,489.693227,919.055610,6079043.666532,3592162.531293
1000,1800,1500,Pass,14586491786.803326,48867014.389115,1.000000,14586491786.803326,2210.950039,915.300603,922.252086,6079043.666532,8590960.623057
1000,1800,2500,Pass,23484462843.337128,63727066.272082,1.000000,23484462843.337128,2321.492614,1377.605046,915.394348,6079043.666532,13589758.714822
1000,1800,3500,Pass,32482299798.834808,77324662.455722,1.000000,32482299798.834808,2370.774078,1857.494607,911.129915,6079043.666532,18588556.806587
1000,1800,4500,Pass,41480136343.285156,90922258.639252,1.000000,41480136343.285156,2398.675298,2346.108843,908.715623,6079043.666532,23587354.898352
1000,2000,500,Pass,6867632744.417330,33681993.359688,1.000000,6867632744.417330,1854.479547,488.465102,1012.450644,6824869.001577,3592162.531293
1000,2000,1500,Pass,16304683910.135641,51843966.955091,1.000000,16304683910.135641,2215.090272,914.627620,1014.526864,6824869.001577,8590960.623057
1000,2000,2500,Pass,26202414602.651089,67104018.838058,1.000000,26202414602.651089,2323.608265,1378.959784,1010.068438,6824869.001577,13589758.714822
1000,2000,3500,Pass,36200011154.270889,81101615.021698,1.000000,36200011154.270889,2372.157621,1860.035053,1007.287694,6824869.001577,18588556.806587
1000,2000,4500,Pass,46197607314.771263,95099211.205228,1.000000,46197607314.771263,2399.693860,2349.301297,1005.710568,6824869.001577,23587354.898352
1500,1000,500,Pass,4128619151.394291,22138229.802416,1.000000,4128619151.394291,1720.978915,646.943849,501.251976,3707628.490558,4139368.239563
1500,1000,1500,Pass,9108391334.141504,34188700.718272,1.000000,9108391334.141504,2145.790052,1019.778115,501.571951,3707628.490558,9138166.331327
1500,1000,2500,Pass,14103799816.230616,46213385.040284,1.000000,14103799816.230616,2271.105213,1481.407393,501.130752,3707628.490558,14136964.423092
1500,1000,3500,Pass,19102597896.546700,58210981.223931,1.000000,19102597896.546700,2330.845504,1962.909565,500.834855,3707628.490558,19135762.514857
1500,1000,4500,Pass,24101395976.849991,70208577.407475,1.000000,24101395976.849991,2365.804687,2452.084894,500.661700,3707628.490558,24134560.606622
1500,1200,500,Pass,4852982957.453270,24720337.659433,1.000000,4852982957.453270,1694.958680,655.234467,611.694363,4246434.281277,4139368.239563
1500,1200,1500,Pass,10649302345.890003,37765802.171533,1.000000,10649302345.890003,2125.812551,1025.500667,614.761969,4246434.281277,9138166.331327
1500,1200,2500,Pass,16611829873.490969,50466626.355083,1.000000,16611829873.490969,2260.543910,1477.206225,610.540746,4246434.281277,14136964.423092
1500,1200,3500,Pass,22610387569.823349,62864222.538723,1.000000,22610387569.823349,2323.912408,1952.651499,607.744276,4246434.281277,19135762.514857
1500,1200,4500,Pass,28608945266.133671,75261818.722253,1.000000,28608945266.133671,2360.707428,2438.393758,606.120501,4246434.281277,24134560.606622
1500,1400,500,Pass,5556587813.131582,27449292.301456,1.000000,5556587813.131582,1670.873763,662.908434,721.552248,4743721.874421,4139368.239563
1500,1400,1500,Pass,12132711047.631350,41938161.834968,1.000000,12132711047.631350,2107.128849,1030.852596,727.341541,4743721.874421,9138166.331327
1500,1400,2500,Pass,19055811510.944492,55429134.979306,1.000000,19055811510.944492,2250.806024,1473.332627,719.389951,4743721.874421,14136964.423092
1500,1400,3500,Pass,26054128989.082134,68226731.162946,1.000000,26054128989.082134,2317.579924,1943.281980,714.182108,4743721.874421,19135762.514857
1500,1400,4500,Pass,33052446301.494904,81024327.346471,1.000000,33052446301.494904,2356.077162,2425.956801,711.179277,4743721.874421,24134560.606622
1500,1600,500,Pass,6306297019.071889,31222499.644276,1.000000,6306297019.071889,1661.813612,665.795190,823.602766,5333218.331487,4139368.239563
1500,1600,1500,Pass,13743828798.720585,48584473.239679,1.000000,13743828798.720585,2100.052132,1032.879716,829.999196,5333218.331487,9138166.331327
1500,1600,2500,Pass,21642040219.272736,63044525.122646,1.000000,21642040219.272736,2247.152349,1471.879203,821.219746,5333218.331487,14136964.423092
1500,1600,3500,Pass,29640117147.702442,76242121.306286,1.000000,29640117147.702442,2315.218492,1939.788135,815.493818,5333218.331487,19135762.514857
1500,1600,4500,Pass,37638194507.048615,89439717.489816,1.000000,37638194507.048615,2354.356735,2421.335718,812.201326,5333218.331487,24134560.606622
1500,1800,500,Pass,7134170506.443730,33999452.210252,1.000000,7134170506.443730,1669.054803,663.488005,916.424584,6079043.666532,4139368.239563
1500,1800,1500,Pass,15571462063.959105,51761425.805655,1.000000,15571462063.959105,2105.710164,1031.258964,920.844534,6079043.666532,9138166.331327
1500,1800,2500,Pass,24469433120.492901,66621477.688622,1.000000,24469433120.492901,2250.072085,1473.040658,914.774678,6079043.666532,14136964.423092
1500,1800,3500,Pass,33467270075.990582,80219073.872262,1.000000,33467270075.990582,2317.104907,1942.579189,910.802352,6079043.666532,19135762.514857
1500,1800,4500,Pass,42465106620.440926,93816670.055792,1.000000,42465106620.440926,2355.730804,2425.026541,908.513466,6079043.666532,24134560.606622
1500,2000,500,Pass,7962044163.479302,36776404.776228,1.000000,7962044163.479302,1674.790088,661.660607,1010.739259,6824869.001577,4139368.239563
1500,2000,1500,Pass,17399094938.114975,54938378.371632,1.000000,17399094938.114975,2110.179596,1029.978707,1013.612968,6824869.001577,9138166.331327
1500,2000,2500,Pass,27296826412.832478,70198430.254709,1.000000,27296826412.832478,2252.387047,1473.961514,1009.664662,6824869.001577,14136964.423092
1500,2000,3500,Pass,37294422573.332855,84196026.438238,1.000000,37294422573.332855,2318.604085,1944.797398,1007.073835,6824869.001577,19135762.514857
1500,2000,4500,Pass,47292018733.833237,98193622.621768,1.000000,47292018733.833237,2356.824382,2427.963948,1005.578417,6824869.001577,24134560.606622
2000,1000,500,Pass,4675824860.925354,24232641.218958,1.000000,4675824860.925354,1583.613762,834.371210,501.105459,3707628.490558,4686573.947833
2000,1000,1500,Pass,9655597043.662830,36283112.134814,1.000000,9655597043.662830,2055.194466,1146.084771,501.482865,3707628.490558,9685372.039598
2000,1000,2500,Pass,14651005525.757746,48307796.456938,1.000000,14651005525.757746,2206.718666,1584.756320,501.088519,3707628.490558,14684170.131362
2000,1000,3500,Pass,19649803606.056042,60305392.640477,1.000000,19649803606.056042,2281.174887,2054.406188,500.811606,3707628.490558,19682968.223127
2000,1000,4500,Pass,24648601686.246941,72302988.823751,1.000000,24648601686.246941,2325.431292,2536.366221,500.647010,3707628.490558,24681766.314892
2000,1200,500,Pass,5509629808.890442,27014749.075973,1.000000,5509629808.890442,1558.167571,845.121816,610.300610,4246434.281277,4686573.947833
2000,1200,1500,Pass,11305949197.327299,40060213.588073,1.000000,11305949197.327299,2034.127440,1154.611605,613.904597,4246434.281277,9685372.039598
2000,1200,2500,Pass,17268476724.945171,52761037.771734,1.000000,17268476724.945171,2195.392933,1582.586540,610.139926,4246434.281277,14684170.131362
2000,1200,3500,Pass,23267034421.255489,65158633.955263,1.000000,23267034421.255489,2273.769840,2045.667424,607.525715,4246434.281277,19682968.223127
2000,1200,4500,Pass,29265592117.565796,77556230.138793,1.000000,29265592117.565796,2320.016976,2523.882903,605.983172,4246434.281277,24681766.314892
2000,1400,500,Pass,6322675806.475071,29943703.717997,1.000000,6322675806.475071,1534.724350,855.026182,718.940867,4743721.874421,4686573.947833
2000,1400,1500,Pass,12898799040.976671,44432573.251512,1.000000,12898799040.976671,2014.481589,1162.563201,725.717667,4743721.874421,9685372.039598
2000,1400,2500,Pass,19821899504.313816,57923546.395957,1.000000,19821899504.313816,2184.964315,1580.588644,718.640557,4743721.874421,14684170.131362
2000,1400,3500,Pass,26820216982.488827,70721142.579481,1.000000,26820216982.488827,2267.011265,2037.691485,713.777013,4743721.874421,19682968.223127
2000,1400,4500,Pass,33818534294.838852,83518738.763011,1.000000,33818534294.838852,2315.100972,2512.548372,710.926034,4743721.874421,24681766.314892
2000,1600,500,Pass,7181825984.657742,33916911.060816,1.000000,7181825984.657742,1525.932961,858.740431,820.725247,5333218.331487,4686573.947833
2000,1600,1500,Pass,14619357933.970161,51278884.656220,1.000000,14619357933.970161,2007.054732,1165.569199,828.202594,5333218.331487,9685372.039598
2000,1600,2500,Pass,22517569354.551727,65738936.539297,1.000000,22517569354.551727,2181.054948,1579.839671,820.394679,5333218.331487,14684170.131362
2000,1600,3500,Pass,30515646713.897903,78936532.722826,1.000000,30515646713.897903,2264.492248,2034.718744,815.049194,5333218.331487,19682968.223127
2000,1600,4500,Pass,38513723642.298195,92134128.906356,1.000000,38513723642.298195,2313.274927,2508.338179,811.923954,5333218.331487,24681766.314892
2000,1800,500,Pass,8119140783.599509,36893863.626792,1.000000,8119140783.599509,1532.958135,855.772392,914.432042,6079043.666532,4686573.947833
2000,1800,1500,Pass,16556432341.114878,54655837.222196,1.000000,16556432341.114878,2012.992088,1163.166055,919.604457,6079043.666532,9685372.039598
2000,1800,2500,Pass,25454403397.681759,69515889.105273,1.000000,25454403397.681759,2184.178859,1580.438156,914.202964,6079043.666532,14684170.131362
2000,1800,3500,Pass,34452240353.146355,83113485.288802,1.000000,34452240353.146355,2266.504479,2037.093450,910.493519,6079043.666532,19682968.223127
2000,1800,4500,Pass,43450076897.596703,96711081.472332,1.000000,43450076897.596703,2314.733329,2511.700772,908.320474,6079043.666532,24681766.314892
2000,2000,500,Pass,9056455582.541279,39870816.192768,1.000000,9056455582.541279,1538.529141,853.418719,1009.441492,6824869.001577,4686573.947833
2000,2000,1500,Pass,18493506357.176945,58032789.788172,1.000000,18493506357.176945,2017.685700,1161.266340,1012.807378,6824869.001577,9685372.039598
2000,2000,2500,Pass,28391237831.894447,73292841.671249,1.000000,28391237831.894447,2186.656559,1580.912831,1009.292113,6824869.001577,14684170.131362
2000,2000,3500,Pass,38388833992.394829,87290437.854779,1.000000,38388833992.394829,2268.104020,2038.981126,1006.872170,6824869.001577,19682968.223127
2000,2000,4500,Pass,48386430152.895203,101288034.038308,1.000000,48386430152.895203,2315.894160,2514.377265,1005.452243,6824869.001577,24681766.314892
